workload,protocol,fold,iteration,checkpoint,selected
job,base_query,a,0,./results/models/job/base-query/a/online-iter-0000.pt,0
job,base_query,a,4,./results/models/job/base-query/a/best.pt,1
job,base_query,b,0,./results/models/job/base-query/b/online-iter-0000.pt,0
job,base_query,b,4,./results/models/job/base-query/b/online-iter-0004.pt,0
job,base_query,b,8,./results/models/job/base-query/b/online-iter-0008.pt,0
job,base_query,b,12,./results/models/job/base-query/b/online-iter-0012.pt,0
job,base_query,b,16,./results/models/job/base-query/b/best.pt,1
job,base_query,c,0,./results/models/job/base-query/c/online-iter-0000.pt,0
job,base_query,c,4,./results/models/job/base-query/c/best.pt,1
job,leave_one_out,a,0,./results/models/job/leave-one-out/a/online-iter-0000.pt,0
job,leave_one_out,a,4,./results/models/job/leave-one-out/a/best.pt,1
job,leave_one_out,b,0,./results/models/job/leave-one-out/b/online-iter-0000.pt,0
job,leave_one_out,b,4,./results/models/job/leave-one-out/b/online-iter-0004.pt,0
job,leave_one_out,b,8,./results/models/job/leave-one-out/b/online-iter-0008.pt,0
job,leave_one_out,b,12,./results/models/job/leave-one-out/b/online-iter-0012.pt,0
job,leave_one_out,b,16,./results/models/job/leave-one-out/b/online-iter-0016.pt,0
job,leave_one_out,b,20,./results/models/job/leave-one-out/b/online-iter-0020.pt,0
job,leave_one_out,b,24,./results/models/job/leave-one-out/b/best.pt,1
job,leave_one_out,c,0,./results/models/job/leave-one-out/c/best.pt,1
job,random,a,0,./results/models/job/random/a/best.pt,1
job,random,b,0,./results/models/job/random/b/online-iter-0000.pt,0
job,random,b,4,./results/models/job/random/b/online-iter-0004.pt,0
job,random,b,8,./results/models/job/random/b/online-iter-0008.pt,0
job,random,b,12,./results/models/job/random/b/online-iter-0012.pt,0
job,random,b,16,./results/models/job/random/b/online-iter-0016.pt,0
job,random,b,20,./results/models/job/random/b/online-iter-0020.pt,0
job,random,b,24,./results/models/job/random/b/online-iter-0024.pt,0
job,random,b,28,./results/models/job/random/b/best.pt,1
job,random,c,0,./results/models/job/random/c/online-iter-0000.pt,0
job,random,c,4,./results/models/job/random/c/best.pt,1
stack,base_query,a,0,./results/models/stack/base-query/a/online-iter-0000.pt,0
stack,base_query,a,4,./results/models/stack/base-query/a/online-iter-0004.pt,0
stack,base_query,a,8,./results/models/stack/base-query/a/online-iter-0008.pt,0
stack,base_query,a,12,./results/models/stack/base-query/a/online-iter-0012.pt,0
stack,base_query,a,16,./results/models/stack/base-query/a/best.pt,1
stack,base_query,b,0,./results/models/stack/base-query/b/online-iter-0000.pt,0
stack,base_query,b,4,./results/models/stack/base-query/b/online-iter-0004.pt,0
stack,base_query,b,8,./results/models/stack/base-query/b/online-iter-0008.pt,0
stack,base_query,b,12,./results/models/stack/base-query/b/online-iter-0012.pt,0
stack,base_query,b,16,./results/models/stack/base-query/b/best.pt,1
stack,base_query,c,0,./results/models/stack/base-query/c/best.pt,1
stack,leave_one_out,a,0,./results/models/stack/leave-one-out/a/online-iter-0000.pt,0
stack,leave_one_out,a,4,./results/models/stack/leave-one-out/a/best.pt,1
stack,leave_one_out,b,0,./results/models/stack/leave-one-out/b/online-iter-0000.pt,0
stack,leave_one_out,b,4,./results/models/stack/leave-one-out/b/online-iter-0004.pt,0
stack,leave_one_out,b,8,./results/models/stack/leave-one-out/b/online-iter-0008.pt,0
stack,leave_one_out,b,12,./results/models/stack/leave-one-out/b/best.pt,1
stack,leave_one_out,c,0,./results/models/stack/leave-one-out/c/online-iter-0000.pt,0
stack,leave_one_out,c,4,./results/models/stack/leave-one-out/c/online-iter-0004.pt,0
stack,leave_one_out,c,8,./results/models/stack/leave-one-out/c/online-iter-0008.pt,0
stack,leave_one_out,c,12,./results/models/stack/leave-one-out/c/best.pt,1
stack,random,a,0,./results/models/stack/random/a/refinement-iter-0000.pt,0
stack,random,a,4,./results/models/stack/random/a/refinement-iter-0004.pt,0
stack,random,a,8,./results/models/stack/random/a/refinement-iter-0008.pt,0
stack,random,a,12,./results/models/stack/random/a/refinement-iter-0012.pt,0
stack,random,a,16,./results/models/stack/random/a/refinement-iter-0016.pt,0
stack,random,a,20,./results/models/stack/random/a/refinement-iter-0020.pt,0
stack,random,a,24,./results/models/stack/random/a/best.pt,1
stack,random,b,0,./results/models/stack/random/b/best.pt,1
stack,random,c,4,./results/models/stack/random/c/original-iter-0004.pt,0
stack,random,c,8,./results/models/stack/random/c/original-iter-0008.pt,0
stack,random,c,12,./results/models/stack/random/c/original-iter-0012.pt,0
stack,random,c,16,./results/models/stack/random/c/refinement-iter-0000.pt,0
stack,random,c,20,./results/models/stack/random/c/best.pt,1
tpch,random,a,0,./results/models/tpch/random/a/online-iter-0000.pt,0
tpch,random,a,4,./results/models/tpch/random/a/online-iter-0004.pt,0
tpch,random,a,8,./results/models/tpch/random/a/online-iter-0008.pt,0
tpch,random,a,12,./results/models/tpch/random/a/online-iter-0012.pt,0
tpch,random,a,16,./results/models/tpch/random/a/online-iter-0016.pt,0
tpch,random,a,20,./results/models/tpch/random/a/online-iter-0020.pt,0
tpch,random,a,24,./results/models/tpch/random/a/online-iter-0024.pt,0
tpch,random,a,28,./results/models/tpch/random/a/online-iter-0028.pt,0
tpch,random,a,32,./results/models/tpch/random/a/best.pt,1
tpch,random,b,0,./results/models/tpch/random/b/online-iter-0000.pt,0
tpch,random,b,4,./results/models/tpch/random/b/online-iter-0004.pt,0
tpch,random,b,8,./results/models/tpch/random/b/online-iter-0008.pt,0
tpch,random,b,12,./results/models/tpch/random/b/online-iter-0012.pt,0
tpch,random,b,16,./results/models/tpch/random/b/online-iter-0016.pt,0
tpch,random,b,20,./results/models/tpch/random/b/online-iter-0020.pt,0
tpch,random,b,24,./results/models/tpch/random/b/online-iter-0024.pt,0
tpch,random,b,28,./results/models/tpch/random/b/online-iter-0028.pt,0
